500002,20250110,6519.8,6539.95,6364.55,6406.25,44293949
500003,20250110,905.45,916.9,820.5,830.85,204390009
500008,20250110,1102.05,1107,1061.55,1079.45,128697980
500009,20250110,54.31,55.35,52.8,53.1,4336468
500012,20250110,73.5,73.5,70.05,71.02,3885805
500014,20250110,7.28,7.28,7,7.06,85329
500016,20250110,11.67,12.44,11.05,11.1,133393
500020,20250110,170.15,173.45,165.7,166.45,21107374
500023,20250110,274.5,284,274.5,276.45,119910
500027,20250110,6926,6943.7,6764,6793.45,4700178
500028,20250110,45,46.6,43.43,44.76,5564962
500031,20250110,780,780,753,759.35,1060363
500032,20250110,29.1,29.34,27.85,27.95,33823707
500033,20250110,6680.35,6681.45,6416.85,6524.25,23685645
500034,20250110,7270.15,7367.4,7215.3,7277.45,214287068
500038,20250110,490.35,495.9,483,490.25,11902622
500039,20250110,489.2,489.2,464.05,475.05,15523752
500040,20250110,2133.8,2180.8,2044,2081.2,33940116
500041,20250110,3665,3670.05,3665,3670.05,18330
500042,20250110,5330,5330,5100,5115.3,17007709
500043,20250110,1391.6,1445.35,1391.6,1426.35,8684893
500048,20250110,3786,3786,3658.55,3699.8,28081959
500049,20250110,279.75,280.55,270.05,271,227427774
500052,20250110,126.1,126.7,121.6,122.55,9488072
500058,20250110,16.8,16.8,15.65,15.88,539262
500059,20250110,13.76,13.77,13.31,13.35,17477
500060,20250110,200.45,205.8,197,198.9,1468208
500067,20250110,2035.45,2035.45,1961.85,1975.4,40272600
500068,20250110,16000,16010,15499.95,16000,4160917
500069,20250110,470,478,458.05,470.1,86604
500074,20250110,100.4,104.1,97.95,99.7,2173278
500078,20250110,403.75,413.2,393.05,395.3,2008108
500083,20250110,23.15,23.5,21.98,23,779492
500084,20250110,171.2,171.25,161.65,162.5,164718691
500085,20250110,492.4,492.5,476.05,481.4,28686749
500086,20250110,397.6,398.4,386.7,389.25,89537617
500087,20250110,1487.2,1497.45,1466,1470.05,1183434155
500089,20250110,678.5,690,661.15,662.35,101012
500092,20250110,5880,5880,5630.5,5678.95,26881385
500093,20250110,678.75,678.75,648.25,650.3,121530158
500096,20250110,519.9,521.85,514.15,517.8,82734239
500097,20250110,359.95,360,344.35,347.15,3613465
500101,20250110,405.9,405.9,381.4,384.4,17503730
500103,20250110,216.15,216.7,203.15,204.5,265739976
500104,20250110,385.6,393.05,379.6,388.4,54468857
500106,20250110,57.49,57.9,54.11,54.29,93383626
500108,20250110,47.01,47.89,44.85,45.15,19186432
500109,20250110,146.05,146.1,140.3,140.7,10317999
500110,20250110,611.65,611.65,594.1,601.9,17160146
500112,20250110,760.35,760.8,742,743.15,340369228
500113,20250110,108.4,109.05,104.8,106,133610250
500114,20250110,3470,3487.95,3429,3439.35,122079725
